Id,Label,timeset,popularity,followers,genres
4VIU80QkcrMEdKoiWmnWvr,Cómplices,,48,39143,rock en espanol;spanish new wave;spanish pop
3PWELXN8Bl961nrQGPVk3u,Tino Casal,,42,18799,spanish new wave;spanish pop
7va6FT607YxAj4HtoXVEIh,Jose Larralde,,45,28460,argentine rock;chamame;folklore argentino;nueva cancion
2ydE5oBt6cwsDxH1TpIFmO,Los Nocheros,,55,108468,folklore argentino
0mdD8YXAyJDJ2BHxIKF0Yf,Raly Barrionuevo,,52,47970,argentine rock;folklore argentino;nueva cancion;rock en espanol
5ykyeZYA8wEGQ0WhhH8AKn,Elefantes,,49,33771,cantautor;latin rock;rock en espanol;spanish indie pop;spanish new wave;spanish pop;spanish rock
5s9GgX51pD0YhcsQRSYlpF,Ketama,,45,32444,cantautor;flamenco;flamenco guitar;rumba;spanish pop
4ByxGModIR7nXk4ZaVFdfO,Pitingo,,43,45465,flamenco;rumba;spanish pop
19pSE6YNJgeX39rGEdave5,Siempre Asi,,52,58914,flamenco;rumba;spanish pop
2qhLqZ1pkiUl5HNrU2Nz0R,Chambao,,52,196570,flamenco;rumba;spanish pop
0sTqNNHUsE35Xzk09BYHBX,Cotty,,0,3173,spanish pop
7mLGQ4lmpypiMsvlEaaqzd,Ana Torroja y Miguel Bosé,,42,56765,spanish pop
3sNPNZwXgDcCY71Jqa7kMe,Nacho Cano,,37,10618,spanish pop
15FscPIs0VO23BCCMaPglf,Amistades Peligrosas,,50,43215,spanish new wave;spanish pop
3VdwsMY5MqUl5WCw7SqnRG,Saúl Hernández,,42,42339,latin alternative;rock en espanol
4FFVYQkCNvUPbqMcw4rV2q,La Casta,,19,6802,latin alternative;rock en espanol
2mkMNs2mphrkggZ7me38j1,Tijuana No!,,44,75905,latin alternative;latin rock;rock en espanol
0B8O7AzuDbSQKZCfAWkNn7,Guillotina,,28,9128,latin alternative;rock en espanol
22UoNzSexUEdL4mnuA8eD4,Tex Tex,,48,53406,latin alternative;latin metal;latin rock;rock en espanol
2kS6fJbWluJG8ay4WDRUIc,Radio Kaos,,32,10812,latin alternative;rock en espanol
6WvDtNFHOWHfiNy8NVHujT,Maldita Vecindad Y Los Hijos Del 5to. Patio,,58,263007,latin alternative;latin rock;rock en espanol
19IsMFpELM7g2UDuwDlZvU,Motel,,58,138918,latin;latin alternative;latin pop;latin rock;rock en espanol
45fwElEp0loQ0FdpvpOgsW,Los De Abajo,,47,51106,argentine reggae;latin alternative;latin rock;mexican indie;rock en espanol
53nmySG01mYmqoUx3fKymx,Los Estramboticos,,53,118230,argentine reggae;latin alternative;latin rock;mexican indie;rock en espanol
4sgBOSpSKtU749d6DGH5Ib,Rostros Ocultos,,45,25534,latin alternative;rock en espanol
